,Unnamed: 0,raw_row_number,date,time,location,lat,lng,precinct,reporting_area,zone,subject_age,subject_race,subject_sex,officer_id_hash,type,violation,arrest_made,citation_issued,warning_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,frisk_performed,search_conducted,search_person,search_vehicle,search_basis,reason_for_stop,vehicle_registration_state,notes,raw_verbal_warning_issued,raw_written_warning_issued,raw_traffic_citation_issued,raw_misd_state_citation_issued,raw_suspect_ethnicity,raw_driver_searched,raw_passenger_searched,raw_search_consent,raw_search_arrest,raw_search_warrant,raw_search_inventory,raw_search_plain_view,geometry,source,DAY_WEEK,CITY,RAIL,MAN_COLL,WEATHER1,HARM_EV,MINUTE,WEATHER2,HOSP_HR,WEATHER,PEDS,ARR_HOUR,STATE,CF2,TWAY_ID,TWAY_ID2,PERSONS,CF3,WRK_ZONE,FATALS,NOT_MIN,ROUTE,DRUNK_DR,REL_ROAD,SCH_BUS,COUNTY,YEAR,MONTH,ST_CASE,CF1,NOT_HOUR,HOUR,MILEPT,LGT_COND,VE_TOTAL,SP_JUR,HOSP_MN,VE_FORMS,NHS,ARR_MIN,DAY,cluster_label
0,0,,,,,36.17720556,-86.75398333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,6.0,1760.0,0000000,0.0,1.0,8.0,35.0,0.0,99.0,1.0,1.0,99.0,47.0,0.0,MAIN ST,99999999999999999999,2.0,0.0,0.0,1.0,99.0,6.0,0.0,1.0,0.0,37.0,2009.0,1.0,470043.0,0.0,99.0,17.0,7.0,3.0,1.0,0.0,99.0,1.0,0.0,99.0,2.0,1
1,1,,,,,36.21679444,-86.7289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,2.0,1760.0,0000000,0.0,2.0,8.0,30.0,0.0,99.0,2.0,1.0,99.0,47.0,0.0,GALLATIN PIKE,99999999999999999999,2.0,0.0,0.0,1.0,99.0,6.0,0.0,1.0,0.0,37.0,2009.0,1.0,470044.0,0.0,99.0,17.0,38.0,3.0,1.0,0.0,99.0,1.0,0.0,99.0,5.0,2
2,2,,,,,36.19673611,-86.82846944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,4.0,1760.0,0000000,0.0,1.0,53.0,40.0,0.0,99.0,1.0,0.0,99.0,47.0,0.0,BUENA VISTA PIKE,99999999999999999999,2.0,0.0,0.0,1.0,99.0,6.0,0.0,4.0,0.0,37.0,2009.0,1.0,470045.0,0.0,99.0,8.0,23.0,1.0,1.0,0.0,99.0,1.0,0.0,99.0,14.0,1
3,3,,,,,36.16551111,-86.73353611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,7.0,1760.0,0000000,0.0,1.0,42.0,0.0,0.0,99.0,1.0,0.0,99.0,47.0,0.0,MAIN DR,99999999999999999999,2.0,0.0,0.0,1.0,99.0,6.0,1.0,5.0,0.0,37.0,2009.0,2.0,470114.0,0.0,99.0,3.0,2.0,3.0,1.0,0.0,99.0,1.0,0.0,99.0,14.0,1
4,4,,,,,36.05765278,-86.69109722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,2.0,1760.0,0000000,0.0,2.0,53.0,40.0,0.0,88.0,2.0,0.0,99.0,47.0,0.0,APACHE TRAIL,99999999999999999999,1.0,0.0,0.0,1.0,99.0,6.0,1.0,4.0,0.0,37.0,2009.0,1.0,470197.0,0.0,99.0,22.0,3.0,3.0,1.0,0.0,88.0,1.0,0.0,99.0,26.0,0
5,5,,,,,36.09010556,-86.76283611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,7.0,1760.0,0000000,0.0,1.0,1.0,45.0,0.0,99.0,1.0,0.0,99.0,47.0,0.0,I-65,99999999999999999999,1.0,0.0,0.0,1.0,99.0,1.0,0.0,1.0,0.0,37.0,2009.0,4.0,470222.0,0.0,99.0,8.0,40.0,1.0,1.0,0.0,99.0,1.0,1.0,99.0,25.0,0
6,6,,,,,36.15534444,-86.78844167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,7.0,1760.0,0000000,0.0,1.0,25.0,30.0,0.0,99.0,1.0,0.0,99.0,47.0,0.0,US-SR24,99999999999999999999,3.0,0.0,0.0,1.0,99.0,2.0,1.0,2.0,0.0,37.0,2009.0,1.0,470237.0,0.0,99.0,0.0,2.0,3.0,1.0,0.0,99.0,1.0,0.0,99.0,24.0,1
7,7,,,,,36.28826944,-86.87960278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,7.0,1760.0,0000000,2.0,2.0,12.0,22.0,0.0,99.0,2.0,0.0,99.0,47.0,0.0,US-SR112,99999999999999999999,3.0,0.0,0.0,2.0,99.0,2.0,0.0,1.0,0.0,37.0,2009.0,2.0,470246.0,0.0,99.0,10.0,75.0,1.0,2.0,0.0,99.0,2.0,0.0,99.0,28.0,1
8,8,,,,,36.23756389,-86.72430278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,4.0,1760.0,0000000,0.0,1.0,8.0,17.0,0.0,88.0,1.0,1.0,99.0,47.0,0.0,US-SR6,99999999999999999999,2.0,0.0,0.0,1.0,99.0,2.0,0.0,1.0,0.0,37.0,2009.0,3.0,470247.0,0.0,99.0,23.0,167.0,3.0,1.0,0.0,88.0,1.0,0.0,99.0,4.0,2
9,9,,,,,36.00148889,-86.63680556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crash,1.0,1760.0,0000000,0.0,1.0,43.0,32.0,0.0,88.0,1.0,0.0,99.0,47.0,0.0,CANE RIDGE RD,99999999999999999999,1.0,0.0,0.0,1.0,99.0,6.0,0.0,4.0,0.0,37.0,2009.0,3.0,470252.0,0.0,99.0,17.0,1.0,1.0,1.0,0.0,88.0,1.0,0.0,99.0,8.0,0
