DAY_WEEK,CITY,RAIL,MAN_COLL,LATITUDE,WEATHER1,HARM_EV,MINUTE,WEATHER2,HOSP_HR,WEATHER,PEDS,ARR_HOUR,STATE,CF2,TWAY_ID,TWAY_ID2,PERSONS,CF3,WRK_ZONE,FATALS,NOT_MIN,ROUTE,DRUNK_DR,REL_ROAD,SCH_BUS,COUNTY,YEAR,MONTH,ST_CASE,CF1,NOT_HOUR,MILEPT,LGT_COND,VE_TOTAL,SP_JUR,HOSP_MN,VE_FORMS,NHS,ARR_MIN,LONGITUD,DAY,HOUR
6,1760,0000000,0,36.17720556,1,8,35,0,99,1,1,99,47,0,MAIN ST,99999999999999999999,2,0,0,1,99,6,0,1,0,37,2009,1,470043,0,99,7,3,1,0,99,1,0,99,-86.75398333,2,17
2,1760,0000000,0,36.21679444,2,8,30,0,99,2,1,99,47,0,GALLATIN PIKE,99999999999999999999,2,0,0,1,99,6,0,1,0,37,2009,1,470044,0,99,38,3,1,0,99,1,0,99,-86.7289,5,17
4,1760,0000000,0,36.19673611,1,53,40,0,99,1,0,99,47,0,BUENA VISTA PIKE,99999999999999999999,2,0,0,1,99,6,0,4,0,37,2009,1,470045,0,99,23,1,1,0,99,1,0,99,-86.82846944,14,8
7,1760,0000000,0,36.16551111,1,42,0,0,99,1,0,99,47,0,MAIN DR,99999999999999999999,2,0,0,1,99,6,1,5,0,37,2009,2,470114,0,99,2,3,1,0,99,1,0,99,-86.73353611,14,3
2,1760,0000000,0,36.05765278,2,53,40,0,88,2,0,99,47,0,APACHE TRAIL,99999999999999999999,1,0,0,1,99,6,1,4,0,37,2009,1,470197,0,99,3,3,1,0,88,1,0,99,-86.69109722,26,22
7,1760,0000000,0,36.09010556,1,1,45,0,99,1,0,99,47,0,I-65,99999999999999999999,1,0,0,1,99,1,0,1,0,37,2009,4,470222,0,99,40,1,1,0,99,1,1,99,-86.76283611,25,8
7,1760,0000000,0,36.15534444,1,25,30,0,99,1,0,99,47,0,US-SR24,99999999999999999999,3,0,0,1,99,2,1,2,0,37,2009,1,470237,0,99,2,3,1,0,99,1,0,99,-86.78844167,24,0
7,1760,0000000,2,36.28826944,2,12,22,0,99,2,0,99,47,0,US-SR112,99999999999999999999,3,0,0,2,99,2,0,1,0,37,2009,2,470246,0,99,75,1,2,0,99,2,0,99,-86.87960278,28,10
4,1760,0000000,0,36.23756389,1,8,17,0,88,1,1,99,47,0,US-SR6,99999999999999999999,2,0,0,1,99,2,0,1,0,37,2009,3,470247,0,99,167,3,1,0,88,1,0,99,-86.72430278,4,23
1,1760,0000000,0,36.00148889,1,43,32,0,88,1,0,99,47,0,CANE RIDGE RD,99999999999999999999,1,0,0,1,99,6,0,4,0,37,2009,3,470252,0,99,1,1,1,0,88,1,0,99,-86.63680556,8,17
3,1760,0000000,2,36.31890278,1,12,37,0,99,1,0,99,47,0,I-24,99999999999999999999,3,0,0,1,99,1,1,1,0,37,2009,3,470253,0,99,47,2,2,0,99,2,1,99,-86.83852222,24,2
5,1760,0000000,2,36.28780556,2,12,26,0,88,2,0,99,47,0,I-65,99999999999999999999,2,0,0,2,99,1,1,1,0,37,2009,3,470265,0,99,184,2,2,0,88,2,1,99,-86.72567222,26,2
6,1760,0000000,5,36.09492222,1,12,0,0,99,1,0,99,47,0,ANTIOCH PIKE,99999999999999999999,4,0,0,1,99,6,0,1,0,37,2009,3,470290,0,99,53,1,2,0,99,2,0,99,-86.70055556,13,13
4,1760,0000000,2,36.28331389,1,12,54,0,99,1,0,99,47,0,US-SR6,99999999999999999999,7,0,0,1,99,2,0,1,0,37,2009,4,470292,0,99,200,1,3,0,99,3,0,99,-86.70699167,8,11
7,1760,0000000,5,36.04841111,2,12,46,0,99,2,0,99,47,0,EDMONDSON PIKE,BRENTWOOD PLACE,3,0,0,1,99,6,0,1,0,37,2009,5,470294,0,99,23,1,2,0,99,2,0,99,-86.74365556,2,8
2,1760,0000000,0,36.32049444,2,24,26,0,99,2,0,99,47,0,I-24,99999999999999999999,1,0,0,1,99,1,0,4,0,37,2009,4,470295,0,99,41,1,1,0,99,1,1,99,-86.84881111,6,9
1,1760,0000000,0,36.15381667,1,8,37,0,99,1,2,99,47,0,US-SR1,99999999999999999999,3,0,0,1,99,2,0,1,0,37,2009,4,470301,0,99,168,3,1,0,99,1,0,99,-86.79440556,26,2
4,1760,0000000,0,36.17114722,1,8,5,0,99,1,1,99,47,0,10TH AVE N,99999999999999999999,2,0,0,1,99,6,0,1,0,37,2009,4,470359,1,99,3,2,1,0,99,1,0,99,-86.79396111,15,21
2,1760,0000000,5,36.11338333,1,12,38,0,99,1,0,99,47,0,US-SR1,99999999999999999999,2,0,0,1,99,2,0,1,0,37,2009,4,470360,0,99,238,1,2,0,99,2,0,99,-86.69035278,27,16
6,1760,0000000,0,36.09858056,1,5,3,0,99,1,0,99,47,0,US-SR11,HARRISON ST,1,0,0,1,99,2,0,1,0,37,2009,5,470364,0,99,85,1,1,0,99,1,0,99,-86.73893333,8,18
7,1760,0000000,0,36.08777222,1,8,9,0,99,1,1,99,47,0,US-SR11,99999999999999999999,2,0,0,1,99,2,0,1,0,37,2009,5,470365,0,99,77,3,1,0,99,1,0,99,-86.73116111,9,22
6,1760,0000000,0,36.26671389,2,15,4,0,99,2,1,99,47,0,DUPONT AVE,99999999999999999999,2,0,0,1,99,6,0,1,0,37,2009,5,470366,0,99,1,1,1,0,99,1,0,99,-86.70906667,15,18
5,1760,0000000,0,36.04701111,1,42,35,0,88,1,0,99,47,0,SR-254,99999999999999999999,1,0,0,1,99,3,1,4,0,37,2009,5,470367,0,99,136,1,1,0,88,1,1,99,-86.68123611,21,11
2,1760,0000000,2,36.38168333,1,12,5,0,99,1,0,99,47,0,US-SR65,SYCAMORE CREEK RD,2,0,0,1,99,2,0,1,0,37,2009,4,470401,0,99,154,1,2,0,99,2,0,99,-86.89479167,27,7
3,1760,0000000,0,36.20611944,1,18,25,0,99,1,0,99,47,0,US-SR6,99999999999999999999,2,0,0,1,99,2,0,1,0,37,2009,5,470402,0,99,133,2,2,0,99,2,1,99,-86.75000833,19,20
4,1760,0000000,0,36.27003611,1,34,7,0,99,1,0,99,47,0,I-65,99999999999999999999,1,0,0,1,99,1,1,3,0,37,2009,5,470404,0,99,170,3,1,0,99,1,1,99,-86.73668611,27,3
3,1760,0000000,0,36.02812222,1,36,5,0,88,1,0,99,47,0,I-24,99999999999999999999,1,0,0,1,99,1,0,4,0,37,2009,6,470414,0,99,259,2,1,0,88,1,1,99,-86.63602778,2,1
