Feature,Coefficient,Odds_Ratio
time_segment_Night,0.864997187053127,2.3749994052205654
time_segment_Evening,0.6163186588996343,1.8520972745498352
time_segment_Afternoon,0.48916868888951254,1.630959821218686
time_segment_Late Night,0.47723197512653126,1.6116072534918662
precinct_NORTH,0.38418575282214823,1.4684181791712008
WEEK_DAY_Saturday,0.3649068053021917,1.440379766136958
precinct_HERMITAGE,0.3583773328730087,1.4310054840299407
WEEK_DAY_Sunday,0.2866648505625791,1.331977727074136
precinct_SOUTH,0.24919914162571277,1.2829975058404341
WEEK_DAY_Friday,0.18694035031142975,1.2055553719026595
WEEK_DAY_Monday,0.17570860045795972,1.1920906333687098
MONTH_NAME_Oct,0.15111684234487954,1.1631325532774397
precinct_MIDTOWN HILLS,0.08493316476030839,1.0886443044638574
precinct_WEST,0.08311775355258638,1.0866697602394635
YEAR_2013,0.04793559500128384,1.0491030856656967
YEAR_2017,0.03186126945835004,1.0323742735278851
YEAR_2011,0.02363876340898973,1.0239203735707172
YEAR_2016,0.01698303647772975,1.01712806810426
WEEK_DAY_Thursday,0.005790202750151413,1.005806998375139
MONTH_NAME_Nov,-0.007813105710043,0.9922173372640555
MONTH_NAME_May,-0.008883217477434452,0.9911561217265266
time_segment_Early Morning,-0.013710158997674407,0.9863833971874297
YEAR_2018,-0.01649471140187871,0.9836405814566477
MONTH_NAME_Jun,-0.026097787365954916,0.974239816605103
MONTH_NAME_Aug,-0.040926983382594574,0.9598992159828463
YEAR_2012,-0.10644521025178547,0.89902430412712
MONTH_NAME_Dec,-0.10709968397168318,0.8984361088466915
WEEK_DAY_Wednesday,-0.11916540558280625,0.8876609645393454
MONTH_NAME_Sep,-0.15317281698153926,0.8579814352366895
YEAR_2014,-0.17951566066899674,0.8356748636132518
YEAR_2015,-0.20588148054752498,0.8139295370496535
precinct_MADISON,-0.2155196364072302,0.8061224407541765
MONTH_NAME_Mar,-0.3149920240239502,0.7297946950708526
YEAR_2019,-0.32307068238520775,0.7239226839775045
MONTH_NAME_Jul,-0.3245947202462189,0.7228202386962388
MONTH_NAME_Feb,-0.46276042001927054,0.6295434404474907
precinct_EAST,-0.5276342168439372,0.5899991298913181
MONTH_NAME_Apr,-0.528797006134464,0.5893134839298049
precinct_CENTRAL,-1.078210048296536,0.34020392957894496
