Feature,Coefficient,Odds_Ratio
time_segment_Night,0.8649971870531137,2.374999405220534
time_segment_Evening,0.6163186588996262,1.85209727454982
time_segment_Afternoon,0.48916868888950343,1.6309598212186711
time_segment_Late Night,0.4772319751265231,1.611607253491853
precinct_NORTH,0.3841857528221503,1.4684181791712039
WEEK_DAY_Saturday,0.3649068053021766,1.4403797661369364
precinct_HERMITAGE,0.35837733287301554,1.4310054840299504
WEEK_DAY_Sunday,0.28666485056256735,1.3319777270741202
precinct_SOUTH,0.24919914162571288,1.2829975058404344
WEEK_DAY_Friday,0.18694035031142972,1.2055553719026595
WEEK_DAY_Monday,0.17570860045795386,1.1920906333687027
MONTH_NAME_Oct,0.15111684234486075,1.1631325532774177
precinct_MIDTOWN HILLS,0.08493316476030928,1.0886443044638583
precinct_WEST,0.08311775355259055,1.086669760239468
YEAR_2013,0.04793559500128214,1.0491030856656949
YEAR_2017,0.0318612694583475,1.0323742735278825
YEAR_2011,0.023638763408990626,1.0239203735707183
YEAR_2016,0.01698303647772673,1.017128068104257
WEEK_DAY_Thursday,0.005790202750146418,1.005806998375134
MONTH_NAME_Nov,-0.00781310571005622,0.9922173372640424
MONTH_NAME_May,-0.008883217477447147,0.991156121726514
time_segment_Early Morning,-0.0137101589976701,0.9863833971874341
YEAR_2018,-0.01649471140187786,0.9836405814566486
MONTH_NAME_Jun,-0.02609778736597003,0.9742398166050883
MONTH_NAME_Aug,-0.04092698338260831,0.9598992159828331
YEAR_2012,-0.1064452102517866,0.899024304127119
MONTH_NAME_Dec,-0.10709968397169442,0.8984361088466815
WEEK_DAY_Wednesday,-0.11916540558281448,0.8876609645393381
MONTH_NAME_Sep,-0.15317281698155163,0.8579814352366788
YEAR_2014,-0.17951566066899718,0.8356748636132515
YEAR_2015,-0.20588148054752575,0.8139295370496529
precinct_MADISON,-0.21551963640723204,0.806122440754175
MONTH_NAME_Mar,-0.31499202402395965,0.7297946950708457
YEAR_2019,-0.32307068238520953,0.7239226839775031
MONTH_NAME_Jul,-0.3245947202462281,0.7228202386962321
MONTH_NAME_Feb,-0.46276042001927525,0.6295434404474878
precinct_EAST,-0.5276342168439321,0.5899991298913211
MONTH_NAME_Apr,-0.5287970061344732,0.5893134839297994
precinct_CENTRAL,-1.0782100482965262,0.3402039295789483
