Feature,Coefficient,Odds_Ratio
precinct_SOUTH,1.0689036024225116,2.912184836586386
precinct_MIDTOWN HILLS,0.9811649095203275,2.6675619009268012
YEAR_2012,0.9447730910744013,2.5722296504978863
YEAR_2013,0.8568172736915474,2.355651356416484
precinct_EAST,0.8143996305974007,2.25781973947196
precinct_HERMITAGE,0.5818766968212774,1.7893934305698
YEAR_2014,0.5504067443860194,1.7339581521969576
time_segment_Night,0.49113009148316134,1.6341619293271668
YEAR_2011,0.396510128155681,1.486627494693247
DAY_WEEK_Wednesday,0.3769735037752497,1.4578656809227366
precinct_WEST,0.3082720661425166,1.3610712399704301
time_segment_Evening,0.27446540927614277,1.3158270578714806
time_segment_Morning,0.16589972858830015,1.180454729926504
DAY_WEEK_Thursday,0.11707189364135455,1.12420024963484
DAY_WEEK_Tuesday,0.11661601523910181,1.1236878678219993
precinct_NORTH,0.03837344803757573,1.0391192174605162
YEAR_2015,0.02142520724685685,1.021656374986709
MONTH_NAME_Mar,-0.04581211936461694,0.9552214129385209
MONTH_NAME_Jun,-0.08777855517322865,0.9159636896871476
YEAR_2016,-0.12953106709782475,0.8785072953202065
MONTH_NAME_Jan,-0.14093275705116062,0.8685477134435527
MONTH_NAME_Aug,-0.1694555388838927,0.8441242843538619
precinct_SOUTHEAST,-0.2000229573202738,0.8187119574296151
MONTH_NAME_Jul,-0.20561829968300008,0.8141437759194255
MONTH_NAME_Feb,-0.2176352704637749,0.8044187834579214
MONTH_NAME_Sep,-0.27880381521008835,0.7566883393970039
DAY_WEEK_Monday,-0.2969048773967783,0.7431146960044568
MONTH_NAME_May,-0.31491590580453777,0.7298502478578408
MONTH_NAME_Oct,-0.35728054428114303,0.6995762080975254
time_segment_Late Night,-0.36262763200757536,0.6958454958531659
YEAR_2017,-0.4879389466280722,0.6138903519746798
precinct_MADISON,-0.6373737508276489,0.5286790453448198
MONTH_NAME_Nov,-0.6439025591145563,0.5252386442925877
time_segment_Early Morning,-0.7748893932229838,0.46075474077753775
YEAR_2018,-1.0048766797639936,0.3660897782982642
MONTH_NAME_Dec,-1.0651619154691458,0.34467204251344347
DAY_WEEK_Saturday,-1.2266266528110934,0.29328024696522337
DAY_WEEK_Sunday,-1.504596074284782,0.22210699044031507
YEAR_2019,-2.405121079099765,0.0902545670064621
